DP,DPNOM,Código Municipio,MPIO,AÑO,ÁREA GEOGRÁFICA,Pobl
19,Cauca,19142,Caloto,2022,Total,"30,699"
19,Cauca,19212,Corinto,2022,Total,"25,847"
19,Cauca,19256,El Tambo,2022,Total,"54,629"
19,Cauca,19290,Florencia,2022,Total,"5,389"
19,Cauca,19300,Guachené,2022,Total,"20,340"
19,Cauca,19318,Guapi,2022,Total,"28,139"
19,Cauca,19355,Inzá,2022,Total,"29,918"
19,Cauca,19364,Jambaló,2022,Total,"18,869"
19,Cauca,19392,La Sierra,2022,Total,"10,825"
19,Cauca,19397,La Vega,2022,Total,"25,036"
19,Cauca,19418,López de Micay,2022,Total,"19,239"
19,Cauca,19450,Mercaderes,2022,Total,"23,467"
19,Cauca,19455,Miranda,2022,Total,"32,602"
19,Cauca,19473,Morales,2022,Total,"40,733"
19,Cauca,19513,Padilla,2022,Total,"10,152"
19,Cauca,19517,Páez,2022,Total,"47,499"
19,Cauca,19532,Patía,2022,Total,"38,094"
19,Cauca,19533,Piamonte,2022,Total,"9,409"
19,Cauca,19548,Piendamó - Tunía,2022,Total,"42,515"
19,Cauca,19573,Puerto Tejada,2022,Total,"42,462"
19,Cauca,19585,Puracé,2022,Total,"17,850"
19,Cauca,19622,Rosas,2022,Total,"11,724"
19,Cauca,19693,San Sebastián,2022,Total,"11,239"
19,Cauca,19698,Santander de Quilichao,2022,Total,"114,832"
19,Cauca,19701,Santa Rosa,2022,Total,"5,469"
19,Cauca,19743,Silvia,2022,Total,"38,680"
19,Cauca,19760,Sotará Paispamba,2022,Total,"14,440"
19,Cauca,19780,Suárez,2022,Total,"33,053"
19,Cauca,19785,Sucre,2022,Total,"9,826"
19,Cauca,19807,Timbío,2022,Total,"36,875"
19,Cauca,19809,Timbiquí,2022,Total,"27,038"
19,Cauca,19821,Toribío,2022,Total,"37,289"
19,Cauca,19824,Totoró,2022,Total,"26,027"
19,Cauca,19845,Villa Rica,2022,Total,"21,674"
20,Cesar,20001,Valledupar,2022,Total,"552,048"
20,Cesar,20011,Aguachica,2022,Total,"122,902"
20,Cesar,20013,Agustín Codazzi,2022,Total,"66,979"
20,Cesar,20032,Astrea,2022,Total,"21,812"
20,Cesar,20045,Becerril,2022,Total,"24,138"
20,Cesar,20060,Bosconia,2022,Total,"44,878"
20,Cesar,20175,Chimichagua,2022,Total,"37,519"
20,Cesar,20178,Chiriguaná,2022,Total,"30,687"
20,Cesar,20228,Curumaní,2022,Total,"41,080"
20,Cesar,20238,El Copey,2022,Total,"32,777"
20,Cesar,20250,El Paso,2022,Total,"42,322"
20,Cesar,20295,Gamarra,2022,Total,"16,429"
20,Cesar,20310,González,2022,Total,"4,731"
20,Cesar,20383,La Gloria,2022,Total,"19,105"
20,Cesar,20400,La Jagua de Ibirico,2022,Total,"52,771"
20,Cesar,20443,Manaure Balcón del Cesar,2022,Total,"11,221"
20,Cesar,20517,Pailitas,2022,Total,"20,407"
20,Cesar,20550,Pelaya,2022,Total,"23,085"
20,Cesar,20570,Pueblo Bello,2022,Total,"30,491"
20,Cesar,20614,Río de Oro,2022,Total,"18,427"
20,Cesar,20621,La Paz,2022,Total,"30,657"
20,Cesar,20710,San Alberto,2022,Total,"29,472"
20,Cesar,20750,San Diego,2022,Total,"21,199"
20,Cesar,20770,San Martín,2022,Total,"29,794"
20,Cesar,20787,Tamalameque,2022,Total,"16,766"
23,Córdoba,23001,Montería,2022,Total,"512,994"
23,Córdoba,23068,Ayapel,2022,Total,"47,954"
23,Córdoba,23079,Buenavista,2022,Total,"21,772"
23,Córdoba,23090,Canalete,2022,Total,"15,668"
23,Córdoba,23162,Cereté,2022,Total,"110,032"
23,Córdoba,23168,Chimá,2022,Total,"18,173"
23,Córdoba,23182,Chinú,2022,Total,"49,422"
23,Córdoba,23189,Ciénaga de Oro,2022,Total,"61,426"
23,Córdoba,23300,Cotorra,2022,Total,"19,845"
23,Córdoba,23350,La Apartada,2022,Total,"15,446"
23,Córdoba,23417,Lorica,2022,Total,"117,188"
23,Córdoba,23419,Los Córdobas,2022,Total,"19,607"
23,Córdoba,23464,Momil,2022,Total,"20,422"
23,Córdoba,23466,Montelíbano,2022,Total,"87,187"
23,Córdoba,23500,Moñitos,2022,Total,"31,047"
23,Córdoba,23555,Planeta Rica,2022,Total,"65,745"
23,Córdoba,23570,Pueblo Nuevo,2022,Total,"37,032"
23,Córdoba,23574,Puerto Escondido,2022,Total,"24,733"
23,Córdoba,23580,Puerto Libertador,2022,Total,"44,233"
23,Córdoba,23586,Purísima de La Concepción,2022,Total,"17,850"
23,Córdoba,23660,Sahagún,2022,Total,"111,882"
23,Córdoba,23670,San Andrés Sotavento,2022,Total,"48,760"
23,Córdoba,23672,San Antero,2022,Total,"35,566"
23,Córdoba,23675,San Bernardo del Viento,2022,Total,"37,629"
23,Córdoba,23678,San Carlos,2022,Total,"27,777"
23,Córdoba,23682,San José de Uré,2022,Total,"14,023"
23,Córdoba,23686,San Pelayo,2022,Total,"53,786"
23,Córdoba,23807,Tierralta,2022,Total,"96,620"
23,Córdoba,23815,Tuchín,2022,Total,"55,791"
23,Córdoba,23855,Valencia,2022,Total,"36,886"
25,Cundinamarca,25001,Agua de Dios,2022,Total,"13,217"
25,Cundinamarca,25019,Albán,2022,Total,"7,377"
25,Cundinamarca,25035,Anapoima,2022,Total,"17,227"
25,Cundinamarca,25040,Anolaima,2022,Total,"15,633"
25,Cundinamarca,25053,Arbeláez,2022,Total,"11,753"
25,Cundinamarca,25086,Beltrán,2022,Total,"2,022"
